FactoryName;Factory Type;Product Type Type;Nike, Inc. Brand(s);Events;Supplier Group;Address;City;State;PostalCode;Country;Region;Total Workers;Line Workers;% Female Workers;% Migrant Workers
Zhejiang Guangtai Delta Socks Co. Ltd.;FINISHED GOODS;Equipment;Nike;Collegiate;DELTA EQ GROUP;36 Kaixiang Avenue;Datang Street Zhuji;Zhejiang;311812;China;N ASIA;215;164;65;0
Oriental Garment Co., Ltd – Nongbuadang;FINISHED GOODS;Apparel;Nike;;ORIENTAL GARMENT;178 Moo 17;Nongbuadang;Chaiyaphum;36210;Thailand;SE ASIA;292;289;71;0
EUN SUNG GLOBAL CO LTD (KOREA);MATERIALS;Footwear;Nike;;EUN SUNG GLOBAL;39 DONGBUK RO 473 BEON GIL;Gimhae, Gyeongnam;Gyeongsangnamdo;621 010;South Korea;N ASIA;38;14;38;0
Dae Young Vina;FINISHED GOODS - COMPONENTS;Footwear;Nike;;DAE YOUNG RUBBER;Ong Dong quarter;Tan Uyen;Bình Duong;75000;Vietnam;SE ASIA;133;118;0;2
Interloop Limited;FINISHED GOODS;Equipment;Nike;;INTERLOOP;7 km Khurrianwala Jaranwala Road;Faisalabad;Punjab;37660;Pakistan;S ASIA;16529;11607;10;0
Textivision;MATERIALS;Apparel;Nike;;FAR EASTERN;C Henry Ford 25 Industrial San Nicolas;Tlalnepantla;México;54030;Mexico;AMERICAS;217;192;0;0
TKG TAEKWANG VINA JOINT STOCK COMPANY;FINISHED GOODS;Footwear;Nike;;TAEKWANG;No 8 Road 9A;BIEN HOA;Ðng Nai;700000;Vietnam;SE ASIA;15894;13390;80;0
Sportek;FINISHED GOODS;Footwear;Nike;;DIAMANT;Milosa Oblica;Kotor Varos;Republika Srpska;78220;Bosnia;EMEA;1998;1835;71;0
KURARAY CO LTD (CLARINO) (TR1) (TR1) (CHINA);MATERIALS;Footwear;Nike;;KURARAY;NO 1568 Dongfang Road Jiaxing;Jiaxing Zhejiang;Zhejiang;314031;China;N ASIA;390;200;60;0
Dass Sul Calcados e Artigos Esportivos Ltda;FINISHED GOODS;Apparel;Nike;;CLASSICO;Marcilio Dias 10;Saudades;Santa Catarina;89868-000;Brazil;AMERICAS;821;443;77;44
Fujian Xiefeng Footwear Co.,Ltd.;FINISHED GOODS;Footwear;Nike;;FENG TAY;NO 888 CHENGHAN WEST ROAD;Putian;Fujian;351131;China;N ASIA;4366;3652;76;0
PT. SHOETOWN LIGUNG INDONESIA;FINISHED GOODS;Footwear;Nike;Collegiate;SHOETOWN;JALAN LANUD SUKANI, DESA BUNTU;MAJALENGKA;Jawa Barat;45456;Indonesia;S ASIA;12034;10223;36;0
SAN FANG (TR1) (VIETNAM);MATERIALS;Footwear;Nike;;SAN FANG;LOT II4 MY XUAN A2 INDUSTRIAL PARK;PHU MY TOWN;Bà Ra - Vung Tàu;78707;Vietnam;SE ASIA;1182;960;20;2
Eagle Nice (Yifeng) Garments Co., Ltd;FINISHED GOODS;Apparel;Nike;;EAGLE NICE;No 76 Gong Zhang Road;Yifeng;Jiangxi;336300;China;N ASIA;1817;1441;98;0
PT ECLAT TEXTILE INTERNATIONAL;FINISHED GOODS;Apparel;Nike;Collegiate;ECLAT;Jl SAPTARENGGA No 11 Kel Wonorejo Kec Kaliwungu;Kendal;Jawa Tengah;51372;Indonesia;S ASIA;4224;4025;95;1
Pingxiang City Guangxuan Footwear Co. Ltd.;FINISHED GOODS - COMPONENTS;Footwear;Nike;Collegiate;SHOETOWN;Zhuting industrial zone, Xuanfeng town, Luxi county Pingxiang city,;Pingxiang;Jiangxi;337000;China;N ASIA;678;607;95;0
Viet Long Hung Garment Company Limited;FINISHED GOODS;Apparel;Nike;Collegiate;SOUTH ISLAND;Hung Thanh Hamlet;Go Cong City;Tin Giang;860000;Vietnam;SE ASIA;2067;1880;68;0
YOU YOUNG (VIETNAM);MATERIALS;Footwear;Nike;;YOU YOUNG;Lot L VIET HUNG 2 INDUSTRIAL PARK;Ben Cat, Binh Duong;Bình Duong;820000;Vietnam;SE ASIA;286;227;15;0
ROLLSPORT VIETNAM FOOTWEAR LIMTED;FINISHED GOODS - COMPONENTS;Footwear;Nike;;HUALI;TAY HO VILLAGE;Tho Xuan;Thanh Hóa;440000;Vietnam;SE ASIA;2305;2216;86;0
Ningbo Shenzhou Knitting Co. Ltd. Nbr 6 Garment Factory;FINISHED GOODS;Apparel;Nike;Collegiate;SHENZHOU;INTERSECTION OF DAGANG ROAD 5th ROAD;NingBo;Zhejiang;315800;China;N ASIA;2352;2100;70;0
NAM THIEN COMPANY LIMITED;FINISHED GOODS;Apparel;Nike;Collegiate;SOUTH ISLAND;Lot IV No 13 No 4 Street;Ho Chi Minh;Ho Chi Minh;700000;Vietnam;SE ASIA;461;396;78;0
KWAN TAT VIET NAM INDUSTRIAL LIMITED;FINISHED GOODS;Apparel;Nike;Collegiate;KWAN TAT VIET NAM INDUSTRIAL LIMITED; T6 147M 6 group;Thuan An;Bình Duong;752118;Vietnam;SE ASIA;117;96;91;11
KUO YUEN (TR1) (CHINA);MATERIALS;Footwear;Nike;;KUO YUEN;NO 2 Jing Cheng 2 Road Huang Jiang Dong Guan China;Dongguan;Guangdong;523750;China;N ASIA;181;95;41;0
Boling Digital (Xiamen) Technology Co.,Ltd;FINISHED GOODS;Apparel;Nike;;HADDAD;No 175 Ji an Road;Xiamen City;Fujian;361100;China;N ASIA;88;80;87;0
TIGAMARO SRL;FINISHED GOODS;Apparel;Nike;;TIGAMARO;Via Cristoforo Colombo 164;Macerata;Macerata;62029;Italy;EMEA;85;72;92;6
Maxport Limited (Viet Nam) - Thai Binh Branch;FINISHED GOODS;Apparel;Nike;;MAXPORT;Lot with area of 110238 m2;Vu Thu;Thái Bình;410000;Vietnam;SE ASIA;2662;2116;75;0
Dass Nordeste Calcados e Artigos Esportivos Ltda;FINISHED GOODS;Footwear;Nike;;DASS;Av Juracy Magalhaes 5100;Vitoria da Conquista;Bahia;45023-490;Brazil;AMERICAS;3970;3770;39;0
MAS Al Safi Apparel Manufacturing LLC - Madaba;FINISHED GOODS;Apparel;Nike;;MAS HOLDINGS;Dulailet Alhamaideh Leb and Mlaih;Madaba;Madaba;11636;Jordan;EMEA;706;622;80;17
YANCHENG XINBO GARMENTS CO LTD;FINISHED GOODS;Apparel;Nike;;DECOR;NO11 CHANGJIANG RD;Yancheng;Jiangsu;224007;China;N ASIA;178;153;94;0
Diamant srl;FINISHED GOODS;Footwear;Nike;;DIAMANT;Viale del Lavoro 8;Sorga;Verona;37060;Italy;EMEA;250;188;70;5
Yangxin Poujia Footwear Co. Ltd.;FINISHED GOODS;Footwear;Nike;;POU CHEN;No 1 Baojia Rd North Industrial Park YangXin HUBEI CHINA;Huangshi;Hubei;435200;China;N ASIA;1801;1485;96;0
ENVA TEXTILE GROUP FOR SOCKS PRODUCTION S.A.E;FINISHED GOODS;Apparel;Nike;;ENVA TEXTILE GROUP;ISMAILIA PUBLIC FREE ZONE;ISMAILIA;AI Isma iliyah;41639;Egypt;EMEA;359;294;59;0
Lotus Footwear Enterprises Ltd. (India Branch) - Unit 1;FINISHED GOODS;Footwear;Nike;;FENG TAY;Plot No 3B SIPCOT Industrial Park;Thiruvannamalai;Tamil Nadu;631701;India;S ASIA;6352;6319;52;0
Tho Xuan Corporation Company Limited;FINISHED GOODS;Apparel;Nike;;THO XUAN CORP;THO XUAN TOWN INDUSTRIAL CLUSTER XUANTRUONG COMMU;Thanh Hoa;Thanh Hóa;40000;Vietnam;SE ASIA;643;601;0;0
ISA INDUSTRIAL CO LTD (VIETNAM);MATERIALS;Footwear;Nike;;ISA;LOT M2 M3 VIET HUONG 2 INDUSTRIAL ZONE AN TAY VILLAGE;Binh Duong;Bình Duong;820000;Vietnam;SE ASIA;684;555;48;0
Atoms., Inc;FINISHED GOODS;Equipment;Nike;;ATOMS;156-4,DAIFUKU;SAKURAI;Nara;6330067;Japan;N ASIA;5;2;0;0
Haivina Hong Linh Co. Ltd;FINISHED GOODS;Equipment;Nike;;HAIVINA HONG;Nam Hong Industrial Zone;Ha Tinh Province;Hà Tinh;480000;Vietnam;SE ASIA;1201;1080;98;0
GB LIGHT CO LTD (VIETNAM);MATERIALS;Footwear;Nike;;GB LIGHT;LOT B2 7;Ho Chi Minh;Ho Chi Minh;75000;Vietnam;SE ASIA;44;20;0;0
Lucky Star Vietnam Garment Company Limited;FINISHED GOODS;Apparel;Nike;;LUCKY STAR;No 108 part of lot D road No 3 Dong An IP Binh Hoa Ward;Thuan An;Bình Duong;820000;Vietnam;SE ASIA;1016;892;76;0
VIETNAM DONA ORIENT CO., LTD;FINISHED GOODS;Footwear;Nike;;FENG TAY;Song May Industrial Zone Bac Son Ward;Trang Bom;Ðng Nai;76000;Vietnam;SE ASIA;8545;8252;64;0
Texlan Center Private Limited;FINISHED GOODS;Equipment;Nike;;INTERLOOP;Weniwalgodalle Estate, Dagonna Road;Minuwangoda;Colombo;11550;Sri Lanka;S ASIA;1093;810;36;0
DUCKSAN CO LTD (KOREA);MATERIALS;Footwear;Nike;;DUCKSAN;76 Opoanro;Gyeonggi Do;Gyeonggido;12774;South Korea;N ASIA;11;10;10;20
JOONGANG TEXTILE CO LTD (WARP/WEFT KNIT);MATERIALS;Footwear;Nike;;JOONGANG TEXTILE;15 Dadae ro 320beon gil;Busan;Busan Gwangyeogsi;49469;South Korea;N ASIA;58;16;43;25
Jiangxi Guangyou Shoetown Footwear Co., Ltd.;FINISHED GOODS;Footwear;Nike;Collegiate;SHOETOWN;Xiangtang village, Xiangtang town;Nanchang;Jiangxi;330201;China;N ASIA;1331;992;84;0
TEXTILES INTERNATIONAL OF EGYPT LTD.;FINISHED GOODS;Apparel;Nike;;TIE TEXTILES;PUBLIC FREE ZONE  NASR CITY;CAIRO;Ash Sharqiyah;11816;Egypt;EMEA;812;695;52;0
KUO YUEN (VIETNAM);MATERIALS;Footwear;Nike;;KUO YUEN;NHON TRACH 3 INDUSTRIAL ZONE NHON TRACH DISTRICT;Dong Nai;Ðng Nai;810000;Vietnam;SE ASIA;240;184;70;6
MAS KREEDA Shadeline ;FINISHED GOODS;Apparel;Nike;;MAS HOLDINGS;MAPAKADEWEWA;MAHIYANGANAYA;Monaragala;90730;Sri Lanka;S ASIA;3385;2879;85;0
Rollsport Vietnam Footwear Limited;FINISHED GOODS;Footwear;Nike;;HUALI;Hoang Long Industrial Zone;Thanh Hoa;Thanh Hóa;440000;Vietnam;SE ASIA;17400;15804;91;0
FORMOSA TAFFETA VIETNAM CO LTD;MATERIALS;Apparel;Nike;;FORMOSA TAFFETA;Section 1 Nhut Chanh Com Ben Luc District;Ben Luc District;Tây Ninh;81000;Vietnam;SE ASIA;1061;920;48;3
SAB Industrial (Vietnam) Co.,Ltd.;MATERIALS;Apparel;Nike;;WEIXING INDUSTRIAL DEVELOPMENT CO LTD;Southern Area A Bim Son Industrial Park;Bac Son Ward Bim Son;Thanh Hóa;40700;Vietnam;SE ASIA;350;300;0;0
Hua Feng Haptic Vietnam;FINISHED GOODS - COMPONENTS;Footwear;Nike;;HUA FENG TEXTILE;Textile Workshop 4th floor;Nhon Trach;Ðng Nai;76266;Vietnam;SE ASIA;243;234;50;4
ORIENTAL GARMENT AN GIANG CO LTD;FINISHED GOODS;Apparel;Nike;;ORIENTAL GARMENT;PLOT K BINH HOA IZ BINH HOA COMMUNE CHAU THANH DISTRICT;AN GIANG;An Giang;90000;Vietnam;SE ASIA;428;357;81;0
GOLD LONG JOHN (TR1) (CHINA);FINISHED GOODS - COMPONENTS;Footwear;Nike;;GOLD LONG JOHN;NO 95 GAO PING INDUSTRIAL ZONE SAN JIAO TOWN;Zhongshan Guangdong;Guangdong;528445;China;N ASIA;267;155;55;0
PT Eagle Nice Indonesia;FINISHED GOODS;Apparel;Nike;;EAGLE NICE;JL Raya Serang;Kabupaten Serang;Banten;42186;Indonesia;S ASIA;2738;1952;73;1
SHANGHAI YKK ZIPPER CO LTD (NANHUI);MATERIALS;Apparel;Nike;;YKK;1258 FeiDu Road Pudong District;Shanghai;Shanghai;201306;China;N ASIA;575;434;1;0
MAXIM SMART MANUFACTURING CO LTD;MATERIALS;Apparel;Nike;;MAXIM;No 398 Jinxiu Rd Yaozhuang Town Jiashan;Jiaxing;Zhejiang;314117;China;N ASIA;705;309;62;0
TTG Co. Ltd.;FINISHED GOODS;Apparel;Nike;Collegiate;SOUTH ISLAND;Lot B1 4;Tien Giang;Long An;3937350;Vietnam;SE ASIA;41;38;42;0
GUANGZHOU JIN HONG YUAN LEATHER PRODUCT CO LIMITED;FINISHED GOODS;Apparel;Nike;;GAUNGZHOU JIN HONG YUAN LEATHER PRODUCT CO., LTD;3rd Floor 1st Building NanHe 1st street;guangzhou;Guangdong;510000;China;N ASIA;30;26;72;0
Shandong Yuanchenghe Garment Co.,Ltd;FINISHED GOODS;Apparel;Nike;Collegiate;FAR EASTERN;Huan cheng Science and Technology Park;Taian City;Shandong;271400;China;N ASIA;176;137;89;0
TCS SRL;FINISHED GOODS;Apparel;Nike;;TCS;VIA REGINA TEODOLINDA 47;Como;Como;22100;Italy;EMEA;17;14;57;0
Grumax;FINISHED GOODS;Apparel;Nike;;GRUPO;Av Lazaro Cardenas S N;Xalapa;Veracruz;91180;Mexico;AMERICAS;494;436;57;0
Maxim Label and Packaging Vietnam Co., Ltd;MATERIALS;Apparel;Nike;;MAXIM;No 33  6th Street;Thuan An;Bình Duong;75209;Vietnam;SE ASIA;726;441;54;0
Marbelys 2;FINISHED GOODS;Apparel;Nike;;MARBELYS;5a Avenida 0 03 zona 2;San Pedro Sacatepequez;Guatemala;01058;Guatemala;AMERICAS;134;128;56;0
EAGLE NICE VIETNAM COMPANY LIMITED;FINISHED GOODS;Apparel;Nike;;EAGLE NICE;New Hamlet 2;Tay Ninh;Tây Ninh;82720;Vietnam;SE ASIA;715;439;55;0
Xinchang Shoes Co.,Ltd;FINISHED GOODS - COMPONENTS;Footwear;Nike;Collegiate;DEAN SHOES;Huafeng Industry Garden;Xinning;Guangdong;510000;China;N ASIA;3769;3401;87;0
XIANG ZHOU LEATHER CO LTD (CHINA);MATERIALS;Footwear;Nike;;XIANG ZHOU LEATHER;Chihu Industry Area Zhangzhou Fujian China;Zhangzhou, Fujian;Fujian;363209;China;N ASIA;410;350;45;0
DAEHWA INDONESIA PT (TR1) (INDONESIA);MATERIALS;Footwear;Nike;;DAEHWA;Bekasi Intl Industrial Estate Block;BEKASI;Jawa Barat;17550;Indonesia;S ASIA;281;222;31;0
Vertex One Apparel Phils., Inc.;FINISHED GOODS;Apparel;Nike;;SPORTS CITY;Crescent Road Lot 8 Block 4;Lapu Lapu City;Cebu;6015;Philippines;N ASIA;2151;1329;40;0
Xiamen Xinduoyu Manufacturing Co., Ltd.;FINISHED GOODS;Apparel;Nike;;XIAMEN XINDUOYU MANUFACTURING;2 of No 32 1 Xinyuan Road Jimei District;Xiamen;Fujian;361000;China;N ASIA;61;53;0;0
Avery Dennison RIS Vietnam Co. Ltd.;MATERIALS;Footwear;Nike;;AVERY DENNISON;LOT E01 TRUNG TAM ROAD;Can Giuoc;Long An;850000;Vietnam;SE ASIA;2560;1926;42;0
Tremon Sporting Goods Enterprise Co.,Ltd;FINISHED GOODS;Equipment;Nike;;TREMON;Road No 5 Trang Bang Industrial Park;Tay Ninh;Tây Ninh;80000;Vietnam;SE ASIA;908;789;48;1
MAS KREEDA PDC & MEC;FINISHED GOODS;Apparel;Nike;;MAS HOLDINGS;Lot 49 58 59 BEPZ;Colombo;Colombo;42000;Sri Lanka;S ASIA;233;119;85;0
TRIMCO GROUP (HONG KONG) CO LTD;MATERIALS;Apparel;Nike;;TRIMCO GROUP;Flat G 8 Floor City Industrial Complex;Kwai Chung;Guangdong;999077;China;N ASIA;186;34;70;0
MAS KREEDA Synergy ;FINISHED GOODS;Apparel;Nike;Collegiate;MAS HOLDINGS;A3 Seethawaka Export Processing zone;Avissawella;Colombo;10700;Sri Lanka;S ASIA;2858;2348;65;0
PT DAEWON ECO INDONESIA;MATERIALS;Footwear;Nike;;DAEWON;Jl Pinang Blok F23 No 11E and 11F Delta Silicon 3;Bekasi;Jawa Barat;17530;Indonesia;S ASIA;37;20;9;25
Ha Noi Garment No. 40 Joint Stock Company;FINISHED GOODS;Apparel;Nike;;MAXPORT;88 Ha Dinh Thanh Xuan Dist;Ha Noi City;Ha Noi;800000;Vietnam;SE ASIA;84;61;80;0
Ajara Textile Ltd (Rustavi);FINISHED GOODS;Apparel;Nike;;MILTEKS;20 Gagarini street Rustavi;Rustavi;Tbilisi;3700;Georgia;EMEA;1118;1038;97;0
Long Yue Shoes Industrial Hui Zhou Co.,Ltd.;FINISHED GOODS - COMPONENTS;Footwear;Nike;Collegiate;DEAN SHOES;Longting Industrial Zone Longxi Town Boluo County;Huizhou;Guangdong;516000;China;N ASIA;414;352;70;0
JIAXING QUANG VIET GARMENT CO., LTD.;FINISHED GOODS;Apparel;Nike;;QUANG VIET;Pingxingxian Tongxinduan 318 Xindai Town;Ping Hu;Zhejiang;314211;China;N ASIA;1436;1322;62;0
PREMIER GLOBAL (VIETNAM) GARMENT FACTORY CO., LTD;FINISHED GOODS;Apparel;Nike;;NICE APPAREL;LOT C  STREET 1 DONG AN INDUSTRIAL PARK BINH HOA WARD;THUAN AN CITY;Bình Duong;82000;Vietnam;SE ASIA;1354;1334;68;0
WP Sports (Cambodia) Co., Ltd.;FINISHED GOODS;Equipment;Nike;Collegiate;WELLPOWER;Trapeang Ta Ei Village;Svaay Rieng;Svaay Rieng;200605;Cambodia;SE ASIA;30;23;95;26
CCH TOP VN CO., LTD.;FINISHED GOODS;Apparel;Nike;;CHUAN CHENG;Tan Thuan Road Tan Thuan;HO CHI MINH;Ho Chi Minh;70000;Vietnam;SE ASIA;1607;1522;85;0
Style Textile(Pvt.) Limited-SAP;MATERIALS;Apparel;Nike;Collegiate;STYLE TEXTILE;Two and half Km off Manga Raiwind Road;Kasur/Lahore;Punjab;55270;Pakistan;S ASIA;12824;12212;1;0
Jade Textile Alexandria  ;FINISHED GOODS;Apparel;Nike;;YESIM;New Borg El Arab city;Alexandria;Ad Daqahliyah;21934;Egypt;EMEA;1191;616;20;0
Gain Lucky (Vietnam) Limited;MATERIALS;Apparel;Nike;Collegiate;SHENZHOU;NO 40 6 N14 Street;Phuoc Dong Ward;Tây Ninh;80700;Vietnam;SE ASIA;10150;9800;46;0
PONY LEATHER CORPORATION (TAIWAN);MATERIALS;Footwear;Nike;;PONY LEATHER CORPORATION;1F No 191 Sec 3 Zhongshan Rd Wubian Vil;Changhua;Changhua;512;Taiwan;N ASIA;173;90;40;0
PT Pratama Abadi Industri;FINISHED GOODS;Footwear;Nike;;PRATAMA;Jl. Raya Serpong Km. 7;Tangerang Selatan;Banten;15325;Indonesia;S ASIA;6332;5085;83;0
Zhejiang Top Circle Textiles Co.,Ltd;FINISHED GOODS;Apparel;Nike;;ZHEJIANG TOP;Building 6 No 671 Xingping 4th Road;Jiaxing;Zhejiang;314200;China;N ASIA;107;94;0;0
Goodmate (Cambodia) Headwears Co., Ltd;FINISHED GOODS;Apparel;Nike;;GOODMATE;Phum Boeng Thom2 Sangkat Boeng Thom Khan Pou Sen Chey;Phnom Penh;Phnom Penh;120907;Cambodia;SE ASIA;384;381;0;0
Xiamen Kaiyuan Technology Co.,Ltd;FINISHED GOODS;Apparel;Nike;;XIAMEN KAIYUAN;2nd floor No 250 Jinting North Road;Xiamen;Fujian;361023;China;N ASIA;24;18;77;0
PHUC TAI TAY NINH CO., LTD;FINISHED GOODS;Footwear;Nike;;SPORTS GEAR;Lot B7 Tan Hoi Industrial cluster;Tay Ninh;Tây Ninh;80000;Vietnam;SE ASIA;425;368;85;0
Avery Dennison RIS Italia S.r.l.;FINISHED GOODS - COMPONENTS;Footwear;Nike;;AVERY DENNISON;Strada Provinciale Bonifica 39 41;Ancarano;Teramo;64010;Italy;EMEA;348;218;42;0
AVERY DENNISON RIS HONDURAS S DE R;FINISHED GOODS - COMPONENTS;Apparel;Nike;;AVERY DENNISON;ZIP BUFALO;Villanueva;Cortés;504;Honduras;AMERICAS;950;800;35;1
Jade Apparel Industries;FINISHED GOODS;Apparel;Nike;;YESIM;3RD INDUSTRIAL ZONE;ALEXANDRIA;AI Iskandariyah;21533;Egypt;EMEA;950;683;34;0
Yichun Yisen Industry Co., Ltd;FINISHED GOODS - COMPONENTS;Footwear;Nike;;POU CHEN;Economic and Technological Development Zone;Yichun city;Jiangxi;336000;China;N ASIA;2788;2386;98;0
PT MAS ARYA INDONESIA;FINISHED GOODS;Apparel;Nike;;MAS HOLDINGS;Tugu Wijaya Road VI 7 Kawasan Industri;Semarang;Jawa;50181;Indonesia;S ASIA;2143;2099;100;1
Fujian Lifeng Footwear Industrial Development CO.,LTD.;FINISHED GOODS;Footwear;Nike;;FENG TAY;Wutang Town Hanjiang District Putian City Fujian Province;Putian;Fujian;351119;China;N ASIA;3291;2752;75;0
Ajara Textile Ltd (Poti);FINISHED GOODS;Apparel;Nike;;MILTEKS;31 Motserelia Str;Poti;Samegrelo-Zemo Sva;4400;Georgia;EMEA;1493;1369;92;0
WELLPOWER SPORTING GOODS CO LTD;FINISHED GOODS;Equipment;Nike;Collegiate;WELLPOWER;NO 112 LIAOFU ROAD;Dongguan;Guangdong;523425;China;N ASIA;680;500;74;0
PT. TKG TAEKWANG CIREBON;FINISHED GOODS;Footwear;Nike;;TAEKWANG;BLOK PRIUK Desa Kelurahan Pabedilan Kulon Kec Pabedilan;Kab Cirebon;Jawa Barat;45193;Indonesia;S ASIA;681;447;0;0
Stretchline (Zhongshan) Limited;MATERIALS;Apparel;Nike;;STRETCHLINE;Industrial area;Zhongshan;Guangdong;528459;China;N ASIA;518;471;34;0
PT. CCH INDONESIA;FINISHED GOODS;Apparel;Nike;;CHUAN CHENG;Jl Desa Giriasih No 16;Bandung Barat;Jawa Barat;40552;Indonesia;S ASIA;1771;1624;61;0
SongSen Garment Suzhou Ltd;FINISHED GOODS;Apparel;Nike;;RAMATEX;168 Liu Feng Road;Suzhou;Jiangsu;215124;China;N ASIA;387;364;80;0
YKK (THAILAND) CO LTD;MATERIALS;Apparel;Nike;;YKK;689 Sukhumvit Rd KM 35;Samutprakarn;Samut Prakan;10280;Thailand;SE ASIA;443;236;1;4
NAN YANG GARMENT CO.,LTD;FINISHED GOODS;Apparel;Nike;Collegiate;NAN YANG;166 168 170 172 Moo 1;Sampran;Nakhon Pathom;73110;Thailand;SE ASIA;1661;1463;65;90
PT. CHANGSHIN  REKSA JAYA;FINISHED GOODS;Footwear;Nike;;CHANGSHIN;Kp Karang Mekar RT 002 RW 008;GARUT;Jawa Barat;44152;Indonesia;S ASIA;10641;10171;97;0
Sun Yuan Optical (Vietnam) Co. Ltd.;FINISHED GOODS;Equipment;Nike;;SUN YUAN OPTICAL (VIETNAM) CO LTD;Lot N3 Road No01 Phuc Long IP Long Hiep Commune;Ben Luc District;Long An;850000;Vietnam;SE ASIA;126;105;27;0
Higuchi Kaban Kobo ;FINISHED GOODS;Equipment;Nike;;CROSTER;2-4-18 Motogo;Saitama;Saitama;332-0011;Japan;N ASIA;17;13;50;15
Viet Long Giang Garment Joint Stock Company ;FINISHED GOODS;Apparel;Nike;;SOUTH ISLAND;Highway 91 Group 9;Can Tho City;Can Tho;900000;Vietnam;SE ASIA;1141;954;78;0
Shishi Maihong Clothing Co., LTD;FINISHED GOODS;Apparel;Nike;;SHISHI HONGTING;2 Fuyuan West Road Shishi City Fujian province China;shishi;Fujian;362799;China;N ASIA;131;107;77;0
Wilson Leather Cambodia Co., LTD.;FINISHED GOODS;Equipment;Nike;;GUANG DER;THLORK VILLAGE;Samraong Tong District;Kampong Spueu;050113;Cambodia;SE ASIA;1295;894;58;6
Green TG Co., Ltd;FINISHED GOODS;Apparel;Nike;;GREEN TEXTILES;Lot AIII-11, Tan Huong Industrial Park , Tan Huong Ward, ;Tien Giang;Tin Giang;82000;Vietnam;SE ASIA;799;708;83;0
Hao’s Fitness Equipment (Shanghai) Co., Ltd. TRADING LTD;FINISHED GOODS;Equipment;Nike;;JOSH SHANGHAI INDUSTRIAL;No188 Gangde Road Songjiang District Shanghai;Shanghai;Shanghai;201616;China;N ASIA;41;35;30;0
SHAOYANG STELLA FOOTWEAR COMPANY LIMITED;FINISHED GOODS;Footwear;Nike;Collegiate;STELLA;JIXIAN ROAD;SHAOYANG CITY;Hunan;422000;China;N ASIA;4389;3838;84;0
Lijing Regina Miracle Intimate Apparel (Zhaoqing) Co., Ltd;FINISHED GOODS;Apparel;Nike;Collegiate;REGINA MIRACLE;No 16 Keji 2nd Road;Zhaoqing;Guangdong;526071;China;N ASIA;249;221;60;0
Chang Wong Industrial Co., Ltd.;FINISHED GOODS;Equipment;Nike;;CHANG WONG INDUSTRIAL;No 139 Lane 92 Feng Nan Street Feng  Yuan District;Taichung City;Taichung;420012;Taiwan;N ASIA;30;22;30;27
The Haddad Apparel Wuxi, Co., LTD;FINISHED GOODS;Apparel;Nike;;HADDAD;Floor 4 No 28 19 Nanhu Center Road;Wuxi;Jiangsu;214125;China;N ASIA;71;48;81;0
Pou Chen Vietnam Enterprise Ltd.;FINISHED GOODS;Footwear;Nike;;POU CHEN;Nguyen Ai Quoc Street, An Hoa Quarter, Hoa An Ward,;Bien Hoa City;Ðng Nai;76113;Vietnam;SE ASIA;16060;12339;83;0
A & K Designs, Inc.;FINISHED GOODS;Apparel;Nike;Collegiate;A & K DESIGNS;8564 NE Alderwood Road;Portland;Oregon;97220;USA;AMERICAS;136;125;73;0
Sewing Jonah;FINISHED GOODS;Apparel;Nike;;SEWING JONAH;11 71 8 Chome Chikami Minami Ku;Kumamoto -city;Kumamoto;861 4101;Japan;N ASIA;28;25;87;12
PT Sport Glove Indonesia ;FINISHED GOODS;Equipment;Nike;Collegiate;PT SPORT;Dusun Krandon Desa Pandowoharjo Sleman Yogyakarta Indonesia;Sleman;Yogyakarta;55512;Indonesia;S ASIA;1659;1423;76;0
PRIME ASIA (VIETNAM);MATERIALS;Footwear;Nike;;PRIME ASIA;LOT V 2 MY XUAN A2 INDUSTRIAL ZONE TAN THANH DISTRICT;VungTau;Bà Ra - Vung Tàu;78000;Vietnam;SE ASIA;1428;940;58;0
DONA VICTOR FOOTWEAR CO., LTD;FINISHED GOODS;Footwear;Nike;;FENG TAY;SONG MAY INDUSTRIAL ZONE BAC SON WARD;TRANG BOM DISTRICT;Ðng Nai;76313;Vietnam;SE ASIA;10748;8619;68;0
TKG TAEKWANG MOC BAI JOINT STOCK COMPANY;FINISHED GOODS;Footwear;Nike;;TAEKWANG;Hiep Thanh Commercial Area, Loi Thuan Commune;Tay Ninh;Tây Ninh;80000;Vietnam;SE ASIA;7039;6378;77;0
Papillion Textile (Cambodia) Co., Ltd;FINISHED GOODS;Apparel;Nike;;TUNTEX; Vattanak II Industry Park National Road No 3;Phnom Penh;Phnom Penh;12412;Cambodia;SE ASIA;1260;1154;95;0
Fujian Zhuojian Garment Technology Co., Ltd;FINISHED GOODS;Apparel;Nike;;FUJIAN ZHUOJIAN;Floor5 No4JinlongRoad;Quanzhou;Fujian;362712;China;N ASIA;98;88;50;0
Hip Keung (Cambodia) Manufacturing Co., Ltd.;FINISHED GOODS;Apparel;Nike;;HIP KEUNG;Preah Khe Village Kahang Commune;Phnom Penh;Kampong Spueu;50802;Cambodia;SE ASIA;895;858;80;1
East Wind Footwear Company Limited (India Branch) - Unit I;FINISHED GOODS;Footwear;Nike;;FENG TAY;Plot No 3D Unit 1 SIPCOT Industrial Park;Chennai;Tamil Nadu;631701;India;S ASIA;4972;4780;69;0
